ViralSequence	sample_1	sample_2	sample_3	sample_4
bin1_1	18957	18994	18983	16893
bin1_2	9236	9959	9900	9998
bin1_3	8000	7998	0	7999
bin2_1	19986	19996	16705	8656
bin2_2	9996	9983	10000	8272
bin3_1	99981	99998	99962	99983
bin3_2	24999	24991	24720	24911
bin3_3	0	6102	9975	10000
bin3_4	7995	7004	0	7979
bin3_5	0	1000	200	0
bin4_1	99992	97979	99994	99994
bin4_2	90000	89993	89999	90000
