Contig	sample_1 Read Count	sample_2 Read Count	sample_3 Read Count	sample_4 Read Count
bin1_1	11266	117753	32093	3550
bin1_2	1020	4540	2748	46804
bin1_3	196712	29366	0	49482
bin2_1	49418	84245	12716	389
bin2_2	2830	1219	14728	178
bin3_1	275062	713049	209336	367144
bin3_2	25774	6789	1212	1485
bin3_3	0	97	1107	20374
bin3_4	1364	160	0	1300
bin3_5	0	1007	2	0
bin4_1	391424	21588	677624	492584
bin4_2	45130	20187	48434	16710
